radar,track_number,utctimestr,gps_epoch,CntrdLatRng,CntrdLatRRat,CntrdLatAcel,CntrdLngRng,CntrdLngRRat,CntrdLngAcel,CoNrstFcLatRng,CoNrstFcLatRRat,CoNrstFcLatAcel,CoNrstFcLngRng,CoNrstFcLngRRat,CoNrstFcLngAcel,NrstFacTyp,Width,DynamProp,MeasStat,ObjElevtn,ObjID,BurstID,CntrdHeight,RTK_X_M,RTK_Y_M,RTK_Z_M,RTK_EASTING_M,RTK_NORTHING_M,RTK_ALT_M
LF,3,2017-May-19 10:24:27.365226000,1495189485.365226,10.24,3.0,-6.5,37.009999999999998,12.625,5.875,10.34,2.75,-6.5,35.030000000000001,12.625,5.875,0,1.74,3,3,3,6.0,-1,1.0,37.460000000000001,10.147,-0.84400000000000008,299999.51632737869,4701287.9424763266,246.83524802822527
LF,1,2017-May-19 10:24:27.405223225,1495189485.4052231,3.5800000000000001,0.625,-8.125,29.239999999999998,12.75,4.875,3.7400000000000002,0.25,-8.125,27.289999999999999,12.625,4.875,0,1.6000000000000001,3,3,3,5.0,-1,1.0,29.689999999999998,3.4870000000000001,-0.84400000000000008,300008.64642368507,4701284.2884492436,247.12531139586298
LF,2,2017-May-19 10:24:27.405223225,1495189485.4052231,5.6900000000000004,-2.375,-6.75,6.6900000000000004,6.5,2.25,5.8700000000000001,-2.75,-6.75,4.7400000000000002,6.5,2.25,0,1.5800000000000001,3,3,3,11.0,-1,1.0,7.1400000000000006,5.5970000000000004,-0.84400000000000008,300015.76444846345,4701262.79915844,247.83150117527194
LF,3,2017-May-19 10:24:27.405223225,1495189485.4052231,10.25,2.625,-6.625,37.530000000000001,12.75,5.875,10.369999999999999,2.375,-6.625,35.57,12.75,5.875,0,1.74,3,3,3,6.0,-1,1.0,37.980000000000004,10.157,-0.84400000000000008,299999.2112070414,4701289.1975754863,246.82503415814213
LF,1,2017-May-19 10:24:27.445220450,1495189485.4452205,3.52,0.125,-8.25,29.739999999999998,12.75,5.0,3.7000000000000002,-0.125,-8.25,27.800000000000001,12.75,5.0,0,1.6000000000000001,3,3,3,5.0,-1,1.0,30.189999999999998,3.427,-0.84400000000000008,300008.39435237786,4701285.5009364849,247.10255253089989
LF,2,2017-May-19 10:24:27.445220450,1495189485.4452205,5.5599999999999996,-2.625,-6.875,6.96,6.5,2.25,5.7599999999999998,-2.875,-6.875,5.0099999999999998,6.5,2.25,0,1.5800000000000001,3,3,3,11.0,-1,1.0,7.4100000000000001,5.4669999999999996,-0.84400000000000008,300015.54032809992,4701263.786828992,247.82544033312783
LF,3,2017-May-19 10:24:27.445220450,1495189485.4452205,10.24,2.25,-6.875,38.079999999999998,13.0,6.125,10.369999999999999,2.0,-6.875,36.119999999999997,12.875,6.125,0,1.74,3,3,3,6.0,-1,1.0,38.530000000000001,10.147,-0.84400000000000008,299998.92280821642,4701290.491588138,246.79070758370725
LF,1,2017-May-19 10:24:27.485217600,1495189485.4852176,3.4399999999999999,-0.125,-8.375,30.210000000000001,12.75,5.0,3.6400000000000001,-0.5,-8.375,28.280000000000001,12.75,5.0,0,1.6000000000000001,3,3,3,5.0,-1,1.0,30.66,3.347,-0.84400000000000008,300008.17307205946,4701286.6924524633,247.07781967756367
LF,2,2017-May-19 10:24:27.485217600,1495189485.4852176,5.4299999999999997,-2.75,-6.875,7.2199999999999998,6.5,2.25,5.6399999999999997,-3.0,-6.875,5.2800000000000002,6.5,2.25,0,1.5800000000000001,3,2,3,11.0,-1,1.0,7.6699999999999999,5.3369999999999997,-0.84400000000000008,300015.32475276833,4701264.765212818,247.81932122408952
LF,3,2017-May-19 10:24:27.485217600,1495189485.4852176,10.19,1.75,-7.0,38.609999999999999,13.125,6.125,10.34,1.5,-7.0,36.659999999999997,13.125,6.125,0,1.72,3,3,3,6.0,-1,1.0,39.060000000000002,10.097,-0.84400000000000008,299998.67885537585,4701291.7794527421,246.75412578569774
LF,1,2017-May-19 10:24:27.525214800,1495189485.5252149,3.3500000000000001,-0.375,-8.375,30.690000000000001,12.875,5.0,3.5800000000000001,-0.75,-8.375,28.760000000000002,12.75,5.0,0,1.6000000000000001,3,3,3,5.0,-1,1.0,31.140000000000001,3.2570000000000001,-0.84400000000000008,300007.96184494102,4701287.898687222,247.05059337918101
LF,2,2017-May-19 10:24:27.525214800,1495189485.5252149,5.29,-2.875,-6.875,7.5,6.5,2.25,5.5199999999999996,-3.25,-6.875,5.5499999999999998,6.5,2.25,0,1.5800000000000001,3,2,3,11.0,-1,1.0,7.9500000000000002,5.1970000000000001,-0.84400000000000008,300015.11760306184,4701265.7682308611,247.81067691341374
LF,3,2017-May-19 10:24:27.525214800,1495189485.5252149,10.15,1.625,-7.0,39.159999999999997,13.25,6.375,10.32,1.25,-7.0,37.210000000000001,13.25,6.375,0,1.72,3,3,3,6.0,-1,1.0,39.609999999999999,10.057,-0.84400000000000008,299998.42246189318,4701293.0819703657,246.71199786851813
LF,1,2017-May-19 10:24:27.565211975,1495189485.565212,3.27,-0.625,-8.375,31.199999999999999,12.875,5.0,3.5099999999999998,-1.0,-8.375,29.280000000000001,12.875,5.0,0,1.6000000000000001,3,3,3,5.0,-1,1.0,31.649999999999999,3.177,-0.84400000000000008,300007.73232161294,4701289.1276648361,247.00360922995674
LF,2,2017-May-19 10:24:27.565211975,1495189485.565212,5.1399999999999997,-3.125,-6.875,7.7699999999999996,6.625,2.375,5.3899999999999997,-3.375,-6.875,5.8200000000000003,6.5,2.375,0,1.5800000000000001,3,2,3,11.0,-1,1.0,8.2199999999999989,5.0469999999999997,-0.84400000000000008,300014.92897695932,4701266.766094706,247.7974184812206
